species,genus,family,species.relative,genus.relative
,Phoenicurus
,Rhyacornis
,Saxicola
,Tarsiger
,Turdus
,Turdus
,Zoothera
,Zoothera
,Zoothera
,Alcippe
,Alcippe
,Garrulax
,Garrulax
,Garrulax
,Garrulax
,Garrulax
,Minla
,Napothera
,Paradoxornis
,Pomatorhinus
,Pomatorhinus
,Pteruthius
,Pteruthius
,Stachyris
,Stachyris
,Yuhina
,Bradypterus
,Cettia
,Cettia
,Cettia
,Locustella
,Phylloscopus
,Phylloscopus
,Phylloscopus
,Phylloscopus
,Prinia
,Prinia
,Seicercus
,Ficedula
,Ficedula
,Ficedula
,Ficedula
,Hypothymis
,Muscicapa
,Niltava
,Niltava
,Rhipidura
,Terpsiphone
,Melanochlora
,Parus
,Sitta
,Dicaeum
,Dicaeum
,Dicaeum
,Aethopyga
,Nectarinia
,Zosterops
,Lonchura
,Lonchura
,Passer
